Excell_order,remark,accession_L,segment_L,accession_S,segment_S,IV_passages,host,country,admin1,location,latitude-old,longitude-old,latitude,longitude,is_same,precision,source,reference,comment_1,comment_2,duplicate_excluded,non_suitable_strain_excluded,kept_in_L_aln,kept_in_S_aln
262,,MG812676,MG812676|LF17013|Human|Liberia_Bong|2017-02-13,MG812677,MG812677|LF17013|Human|Liberia_Bong|2017-02-13,1_or_0,,LBR,Bong,Jorquelleh,,,6.99556,-9.47222,,admin-2,10.1016/S1473-3099(19)30486-4,Wiley et al. 2019. The Lancet Inf. Dis.,,,0,0,,
263,,MG812678,MG812678|811606|Human|Liberia|2010,MG812679,MG812679|811606|Human|Liberia|2010,1_or_0,,LBR,,,,,,,,country,,Welch et al. unpublished,,,0,0,,
264,,MH215278,MH215278|LF18001|Human|Liberia_Bong|2018-01-10,MH215279,MH215279|LF18001|Human|Liberia_Bong|2018-01-10,1_or_0,,LBR,Bong,,,,,,,admin-1,10.1016/S1473-3099(19)30486-4,Wiley et al. 2019. The Lancet Inf. Dis.,,,0,0,,
265,,MH215282,MH215282|LF18037|Human|Liberia_Nimba|2018-02-13,MH215283,MH215283|LF18037|Human|Liberia_Nimba|2018-02-13,1_or_0,,LBR,Nimba,,,,,,,admin-1,10.1016/S1473-3099(19)30486-4,Wiley et al. 2019. The Lancet Inf. Dis.,,,0,0,,
266,,MH215284,MH215284|LF18040|Human|Liberia_Monsterrado|2018-03-02,MH215285,MH215285|LF18040|Human|Liberia_Monsterrado|2018-03-02,1_or_0,,LBR,Montserrado,,,,,,,admin-1,10.1016/S1473-3099(19)30486-4,Wiley et al. 2019. The Lancet Inf. Dis.,,,0,0,,
267,,MH215286,MH215286|LF18041|Human|Liberia_Monsterrado|2018-03-03,MH215287,MH215287|LF18041|Human|Liberia_Monsterrado|2018-03-03,1_or_0,,LBR,Montserrado,,,,,,,admin-1,10.1016/S1473-3099(19)30486-4,Wiley et al. 2019. The Lancet Inf. Dis.,,,0,0,,
268,,MH215288,MH215288|LF18042|Human|Liberia_Nimba|2018-03-01,MH215289,MH215289|LF18042|Human|Liberia_Nimba|2018-03-01,1_or_0,,LBR,Nimba,,,,,,,admin-1,10.1016/S1473-3099(19)30486-4,Wiley et al. 2019. The Lancet Inf. Dis.,,,0,0,,
269,,AY870334,AY870334|Lib04-2739|Human|Liberia|2004,,,1_v,,LBR,,,,,,,,country,10.1016/j.trstmh.2005.03.018,Vieth et al. 2007. Trans. R. Soc. Trop. Med. Hyg.,,,0,0,,
270,L < 500 nt,GU979509,GU979509|Lib05-2406/129|Human|Liberia|2005,,,1_v,,LBR,,,,,,,,country,10.1128/JCM.01891-10,Ehichioya et al. 2011. J. Clin. Microbiol.,,,0,0,0,
271,,GU979510,GU979510|Lib05-2096/127|Human|Liberia|2005,,,1_v,,LBR,,,,,,,,country,10.1128/JCM.01891-10,Ehichioya et al. 2011. J. Clin. Microbiol.,,,0,0,,
272,L < 500 nt,GU979511,GU979511|Lib05-1580/121|Human|Liberia|2005,,,1_v,,LBR,,,,,,,,country,10.1128/JCM.01891-10,Ehichioya et al. 2011. J. Clin. Microbiol.,,,0,0,0,
273,L < 500 nt,GU979512,GU979512|Lib05-236/88|Human|Liberia|2005,,,1_v,,LBR,,,,,,,,country,10.1128/JCM.01891-10,Ehichioya et al. 2011. J. Clin. Microbiol.,,,0,0,0,
274,,AY628204,AY628204|Z148|?|LIB|1981,AY628205,AY628205|Z148|?|LIB|1981,,,LIB,,,,,,,NO,country,,Hajjaj et al. unpublished,date from 10.1128/JCM.01891-15,,0,0,,
275,,,,FJ824031,FJ824031|Soromba|Human|MLI|2009-02-17,,Homo_sapiens,MLI,,Soromba,,,10.5891,-7.1558,NO,admin-2,PMID: 19317988,Atkin et al. 2009. Euro Surveill.,,,0,0,,
276,,GU573541,GU573541|Soromba_R240|Mouse|Mali|2009,GU573547,GU573547|Soromba_R240|Mouse|Mali|2009,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
277,,GU573542,GU573542|Soromba_R241|Mouse|Mali|2009,GU573548,GU573548|Soromba_R241|Mouse|Mali|2009,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
278,,GU573543,GU573543|Soromba_R242|Mouse|Mali|2009,GU573549,GU573549|Soromba_R242|Mouse|Mali|2009,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
279,,GU573544,GU573544|Soromba_R243|Mouse|Mali|2009,GU573550,GU573550|Soromba_R243|Mouse|Mali|2009,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
280,,GU573545,GU573545|Soromba_R245|Mouse|Mali|2009,GU573551,GU573551|Soromba_R245|Mouse|Mali|2009,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
281,,GU573546,GU573546|Soromba_R249|Mouse|Mali|2009,GU573552,GU573552|Soromba_R249|Mouse|Mali|2009,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
282,,KF478762,KF478762|Soromba_R|Mouse|Mali|2009-06,KF478765,KF478765|Soromba_R|Mouse|Mali|2009-06,2_v,Mastomys_natalensis,MLI,,Soromba,10.5891,-7.1558,10.5891,-7.1558,,city_Safronetz_et_al,10.1371/journal.pntd.0002582,Safronetz et al. 2013. PLoS Negl. Trop. Dis.,,,0,0,,
283,,KF478761,KF478761|Bamba_R114|Mouse|Mali|2012-03,KF478766,KF478766|Bamba_R114|Mouse|Mali|2012-03,2_v,Mastomys_natalensis,MLI,,Bamba,10.3831,-7.1517,10.3831,-7.1517,,city_Safronetz_et_al,10.1371/journal.pntd.0002582,Safronetz et al. 2013. PLoS Negl. Trop. Dis.,,,0,0,,
284,,KF478760,KF478760|Komina_R16|Mouse|Mali|2012-03-03,KF478767,KF478767|Komina_R16|Mouse|Mali|2012-03-03,2_v,Mastomys_natalensis,MLI,,Komina,10.6164,-7.1583,10.6164,-7.1583,,city_Safronetz_et_al,10.1371/journal.pntd.0002582,Safronetz et al. 2013. PLoS Negl. Trop. Dis.,,,0,0,,
285,,KF478764,KF478764|Ouoma-R123|Mn|NGA|2012-03,KF478768,KF478768|Ouoma-R123|Mn|NGA|2012-03,1_iso,Mastomys_natalensis,MLI,,Ouoma,,,10.397222,-7.259167,NO,coordinates_GenBank,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
286,,KF478763,KF478763|Soromba-R30|Mn|NGA|2012-03-03,KF478769,KF478769|Soromba-R30|Mn|NGA|2012-03-03,1_iso,Mastomys_natalensis,MLI,,Soromba,,,10.5891,-7.1558,NO,city_Safronetz_et_al,10.3201/eid1607.100146,Safronetz et al. 2010. PLoS Negl. Trop. Dis.,,,0,0,,
287,S < 500 nt,,,MH473586,MH473586|MLI-BMK_2017/01|Human|Mali|2016-09-01,?,,MLI,,,,,,,,country,,Baumann & Mandy. unpublished,,,0,0,,0
288,S < 500 nt,,,MH473587,MH473587|MLI-BMK_2017/02|Human|Mali|2016-09-01,?,,MLI,,,,,,,,country,,Baumann & Mandy. unpublished,,,0,0,,0
289,,,,AF182233,AF182233|las802662|Human|Sierra_Leone|1980,1_iso,,SLE,Kailahun,Niahun,,,,,,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
290,,,,AF182234,AF182234|las801618|Human|Sierra_Leone|1979,1_iso,,SLE,Kailahun,Konia,,,,,,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
291,,,,AF182235,AF182235|las803205|Human|Sierra_Leone|1976,1_iso,,SLE,Kailahun,Segbwema,7.997399,-10.950236,7.997399,-10.950236,,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
292,,MG812646,MG812646|las803209|Human|Sierra_Leone|1975,MG812647,MG812647|las803209|Human|Sierra_Leone|1975,1_iso,,SLE,Kailahun,Segbwema,7.997399,-10.950236,7.997399,-10.950236,,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,old_AN_AF182236,,0,0,,
293,,,,AF182237,AF182237|las9607290|Human|Sierra_Leone|1996,0,,SLE,Kailahun,Segbwema,7.997399,-10.950236,7.997399,-10.950236,,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
294,,MG812638,MG812638|las806827|Human|Sierra_Leone|1977,MG812639,MG812639|las806827|Human|Sierra_Leone|1977,1_iso,,SLE,Kenema,Gondama,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,old_AN_AF182238,,0,0,,
295,similar to 801107,,,AF182239,AF182239|las801105|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kailahun,Konia,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
296,similar to 801105,,,AF182240,AF182240|las801107|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kailahun,Konia,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
297,,,,AF182241,AF182241|las801104|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kailahun,Konia,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
298,,,,AF182242,AF182242|las801106|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kailahun,Konia,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
299,,,,AF182243,AF182243|las801109|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kailahun,Konia,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
300,,,,AF182244,AF182244|las801108|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kailahun,Konia,,,,,NO,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
301,,,,AF182245,AF182245|las807875|Mouse|Sierra_Leone|1982,1_iso,,SLE,,,,,,,,country,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
302,,,,AF182246,AF182246|las807976|Human|Sierra_Leone|1977,1_iso,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
303,,,,AF182247,AF182247|las803211|Human|Sierra_Leone|1972,1_iso,,SLE,Kenema,Panguma,8.184479,-11.134313,8.184479,-11.134313,,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
304,,,,AF182248,AF182248|las801101|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
305,,,,AF182249,AF182249|las801103|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
306,,,,AF182250,AF182250|las803206|Human|Sierra_Leone|1976,1_iso,,SLE,Kenema,Panguma,8.184479,-11.134313,8.184479,-11.134313,,city_GoogleMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
307,,,,AF182251,AF182251|las801102|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
308,,,,AF182252,AF182252|las9607300|Human|Sierra_Leone|1996,0,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
309,,,,AF182253,AF182253|las801100|Mouse|Sierra_Leone|1978,1_iso,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
310,,,,AF182254,AF182254|las806843|Human|Sierra_Leone|1993,1_iso,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
311,,,,AF182255,AF182255|las9607302|Human|Sierra_Leone|1996,0,,SLE,Kenema,Tongo,8.660429,-11.059281,8.2188562,-11.0604289,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,coordinates for Tongo (used to be for Tongoma),,0,0,,
312,,,,AF182256,AF182256|las803972|Human|Sierra_Leone|1982,1_iso,,SLE,Kailahun,Mano,,,,,,admin-1,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,Mano near Segbwema (see map in Bowen et al.),,0,0,,
313,,,,AF182257,AF182257|las807974|Human|Sierra_Leone|1976,1_iso,,SLE,Kailahun,Mobai,,,7.9935681,-10.7537466,NO,city_OpenStreetMap,10.1128/JVI.74.15.6992-7004.2000,Bowen et al. 2000. J. Virol.,,,0,0,,
314,S < 500 nt,,,AJ310764,AJ310764|IJ531|Human|SLE|2000,1_iso,Homo_sapiens,SLE,,,,,,,NO,country,,Tolley et al. unpublished,,,0,0,,0
315,,,,AY179173,AY179173|NL|Human|Sierra_Leone|2000-07,2_v,,SLE,,,,,,,,country,10.1016/j.trstmh.2005.03.018,Vieth et al. 2007. Trans. R. Soc. Trop. Med. Hyg.,,,0,0,,
316,S < 500 nt,AY363910,AY363910|SL26|Human|SLE|2002,GU979503,GU979503|SL26|Human|SLE|2002,,Homo_sapiens,SLE,,,,,,,NO,country,10.1016/j.trstmh.2005.03.019,Ardelli & Prichard 2007. Trans. R. Soc. Trop. Med. Hyg.,date from 10.1128/JCM.01891-10,,0,0,,0
317,S < 500 nt,AY363909,AY363909|SL25|Human|SLE|2002,GU979504,GU979504|SL25|Human|SLE|2002,,Homo_sapiens,SLE,,,,,,,NO,country,10.1016/j.trstmh.2005.03.019,Ardelli & Prichard 2007. Trans. R. Soc. Trop. Med. Hyg.,date from 10.1128/JCM.01891-11,,0,0,,0
318,S < 500 nt,AY363908,AY363908|SL21|Human|SLE|2002,GU979505,GU979505|SL21|Human|SLE|2002,,Homo_sapiens,SLE,,,,,,,NO,country,10.1016/j.trstmh.2005.03.019,Ardelli & Prichard 2007. Trans. R. Soc. Trop. Med. Hyg.,date from 10.1128/JCM.01891-12,,0,0,,0
319,S < 500 nt,AY363906,AY363906|SL15|Human|SLE|2002,GU979506,GU979506|SL15|Human|SLE|2002,,Homo_sapiens,SLE,,,,,,,NO,country,10.1016/j.trstmh.2005.03.019,Ardelli & Prichard 2007. Trans. R. Soc. Trop. Med. Hyg.,date from 10.1128/JCM.01891-14,,0,0,,0
320,,,,GU979508,GU979508|SL06-2057|Human|SLE|2006,0,Homo_sapiens,SLE,,,,,,,NO,country,10.1016/j.trstmh.2005.03.019,Ardelli & Prichard 2007. Trans. R. Soc. Trop. Med. Hyg.,,,0,0,,
321,S segment excluded. low quality,,,KF926390,KF926390|Lassa 331|Human|SLE|1977,,Homo_sapiens,SLE,Kalaihun,Segbwema,,,7.997399,-10.950236,NO,admin-2,PMID:7883875,Jardine et al. unpublished,AJ969404,,0,0,,0
322,L < 500 nt,KM406557,KM406557|LM0034|Mastomys_natalensis|SierraLeone|2009-01-27,KM406518,KM406518|LM0034|Mastomys_natalensis|SierraLeone|2009-01-27,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,8.21,-11.09,8.21,-11.09,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406590,,0,0,0,
323,L < 500 nt,KM406558,KM406558|LM0036|Mastomys_natalensis|SierraLeone|2009-01-27,KM406519,KM406519|LM0036|Mastomys_natalensis|SierraLeone|2009-01-27,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,8.21,-11.09,8.21,-11.09,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406591,,0,0,0,
324,,,,KM406520,KM406520|LM0047|Mastomys_natalensis|SierraLeone|2009-01-28,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,,,8.21,-11.09,NO,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406592,,0,0,,
325,L < 500 nt,KM406559,KM406559|LM0054|Mastomys_natalensis|SierraLeone|2009-01-28,KM406521,KM406521|LM0054|Mastomys_natalensis|SierraLeone|2009-01-28,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,8.21,-11.09,8.21,-11.09,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406593,,0,0,0,
326,L < 500 nt,KM406560,KM406560|LM0058|Mastomys_natalensis|SierraLeone|2009-01-29,KM406522,KM406522|LM0058|Mastomys_natalensis|SierraLeone|2009-01-29,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,8.21,-11.09,8.21,-11.09,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406594,,0,0,0,
327,L < 500 nt,KM406561,KM406561|LM0064|Mastomys_natalensis|SierraLeone|2009-01-30,KM406523,KM406523|LM0064|Mastomys_natalensis|SierraLeone|2009-01-30,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,8.21,-11.09,8.21,-11.09,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406595,,0,0,0,
328,,,,KM406524,KM406524|LM0068|Mastomys_natalensis|SierraLeone|2009-01-30,0,Mastomys_natalensis,SLE,Kenema,Bumpeh,,,8.21,-11.09,NO,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406596,,0,0,,
329,,,,KM406525,KM406525|LM0087|Mastomys_natalensis|SierraLeone|2009-02-03,0,Mastomys_natalensis,SLE,Kenema,Largo,,,8.05,-11.11,NO,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,,,0,0,,
330,L < 500 nt,KM406562,KM406562|LM0091|Mastomys_natalensis|SierraLeone|2009-02-03,KM406526,KM406526|LM0091|Mastomys_natalensis|SierraLeone|2009-02-03,0,Mastomys_natalensis,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406597,,0,0,0,
331,L < 500 nt,KM406563,KM406563|LM0092|Mastomys_natalensis|SierraLeone|2009-02-03,KM406527,KM406527|LM0092|Mastomys_natalensis|SierraLeone|2009-02-03,0,Mastomys_natalensis,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406598,,0,0,0,
332,L < 500 nt,KM406564,KM406564|LM0093|Mastomys_natalensis|SierraLeone|2009-02-03,KM406528,KM406528|LM0093|Mastomys_natalensis|SierraLeone|2009-02-03,0,Mastomys_natalensis,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406599,,0,0,0,
333,L < 500 nt,KM406565,KM406565|LM0111|Mastomys_natalensis|SierraLeone|2009-02-04,KM406529,KM406529|LM0111|Mastomys_natalensis|SierraLeone|2009-02-04,0,Mastomys_natalensis,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406600,,0,0,0,
334,L < 500 nt,KM406566,KM406566|LM0122|Mastomys_natalensis|SierraLeone|2009-02-05,KM406530,KM406530|LM0122|Mastomys_natalensis|SierraLeone|2009-02-05,0,Mastomys_natalensis,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406601,,0,0,0,
335,L < 500 nt,KM406573,KM406573|LM0396|Mastomys_natalensis|SierraLeone|2009-07-22,KM406538,KM406538|LM0396|Mastomys_natalensis|SierraLeone|2009-07-22,0,Mastomys_natalensis,SLE,Kenema,Ngiehun,8.18,-11.08,8.18,-11.08,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,,,0,0,0,
336,,,,KM406540,KM406540|LM0513|Mastomys_natalensis|SierraLeone|2009-08-01,0,Mastomys_natalensis,SLE,Kenema,Saama,,,8.28,-11.01,NO,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,,,0,0,,
337,L < 500 nt,KM406578,KM406578|LM0619|Mastomys_natalensis|SierraLeone|2009-08-08,KM406543,KM406543|LM0619|Mastomys_natalensis|SierraLeone|2009-08-08,0,Mastomys_natalensis,SLE,Bo,Barlie,8.02,-11.58,8.02,-11.58,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,,,0,0,0,
338,,,,KM406554,KM406554|LM0729|Mastomys_natalensis|SierraLeone|2009-08-15,0,Mastomys_natalensis,SLE,Kenema,Yawei,,,7.82,-10.95,NO,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,,,0,0,,
339,L < 500 nt,KM406567,KM406567|LM0123|Mastomys_natalensis|SierraLeone|2009-02-05,KM406602,KM406602|LM0123|Mouse|Sierra_Leone|2009-02-05,0,,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406531,,0,0,0,
340,L < 500 nt,KM406568,KM406568|LM0124|Mastomys_natalensis|SierraLeone|2009-02-05,KM406603,KM406603|LM0124|Mouse|Sierra_Leone|2009-02-05,0,,SLE,Kenema,Largo,8.05,-11.11,8.05,-11.11,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406532,,0,0,0,
341,L < 500 nt,KM406569,KM406569|LM0224|Mastomys_natalensis|SierraLeone|2009-02-18,KM406604,KM406604|LM0224|Mouse|Sierra_Leone|2009-02-18,0,,SLE,Kenema,Koi,8.04,-11.06,8.04,-11.06,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406533,,0,0,0,
342,L < 500 nt,KM406570,KM406570|LM0250|Mastomys_natalensis|SierraLeone|2009-02-19,KM406605,KM406605|LM0250|Mouse|Sierra_Leone|2009-02-19,0,,SLE,Kenema,Koi,8.04,-11.06,8.04,-11.06,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406534,,0,0,0,
343,L < 500 nt,KM406571,KM406571|LM0273|Mastomys_natalensis|SierraLeone|2009-02-20,KM406606,KM406606|LM0273|Mouse|Sierra_Leone|2009-02-20,0,,SLE,Kenema,Koi,8.04,-11.06,8.04,-11.06,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406535,,0,0,0,
344,L < 500 nt,KM406572,KM406572|LM0395|Mastomys_natalensis|SierraLeone|2009-07-22,KM406607,KM406607|LM0395|Mouse|Sierra_Leone|2009-07-22,0,,SLE,Kenema,Ngiehun,8.18,-11.08,8.18,-11.08,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406537,,0,0,0,
345,L < 500 nt,KM406574,KM406574|LM0434|Mastomys_natalensis|SierraLeone|2009-07-23,KM406608,KM406608|LM0434|Mouse|Sierra_Leone|2009-07-23,0,,SLE,Kenema,Ngiehun,8.18,-11.08,8.18,-11.08,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406539,,0,0,0,
346,L < 500 nt. S segment excluded. low quality,KM406575,KM406575|LM0473|Mastomys_natalensis|SierraLeone|2009-07-24,KM406609,KM406609|LM0473|Mouse|Sierra_Leone|2009-07-24,0,,SLE,Kenema,Ngiehun,8.18,-11.08,8.18,-11.08,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406536,,0,0,0,0
347,L < 500 nt,KM406576,KM406576|LM0582|Mastomys_natalensis|SierraLeone|2009-08-08,KM406610,KM406610|LM0582|Mouse|Sierra_Leone|2009-08-08,0,,SLE,Bo,Barlie,8.02,-11.58,8.02,-11.58,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406541,,0,0,0,
348,L < 500 nt,KM406577,KM406577|LM0610|Mastomys_natalensis|SierraLeone|2009-08-08,KM406611,KM406611|LM0610|Mouse|Sierra_Leone|2009-08-08,0,,SLE,Bo,Barlie,8.02,-11.58,8.02,-11.58,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406542,,0,0,0,
349,L < 500 nt,KM406579,KM406579|LM0645|Mastomys_natalensis|SierraLeone|2009-08-08,KM406612,KM406612|LM0645|Mouse|Sierra_Leone|2009-08-08,0,,SLE,Bo,Barlie,8.02,-11.58,8.02,-11.58,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406544,,0,0,0,
350,L < 500 nt,KM406580,KM406580|LM0657|Mastomys_natalensis|SierraLeone|2009-08-08,KM406613,KM406613|LM0657|Mouse|Sierra_Leone|2009-08-08,0,,SLE,Bo,Barlie,8.02,-11.58,8.02,-11.58,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406545,,0,0,0,
351,L < 500 nt,KM406581,KM406581|LM0660|Mastomys_natalensis|SierraLeone|2009-08-08,KM406614,KM406614|LM0660|Mouse|Sierra_Leone|2009-08-08,0,,SLE,Bo,Barlie,8.02,-11.58,8.02,-11.58,,city_Leski_et_al,10.3201/eid2104.141469,Leski et al. 2015. Emerg. Infect. Dis.,KM406546,,0,0,0,
